TEMPORADA        DIVISIÓN  JORNADA   LOCAL      VISITANTE      GOL LOC   GOL VISIT  
1972-1973           2ª              2 Pontevedra  Mallorca       1-3       1-3      
1972-1973           2ª              2 Gimn. Tarr  Barakaldo      2-0       2-0      
1972-1973           2ª              2 Cult. Leon  Sant Andreu    1-2       1-2      
1972-1973           2ª              2 Tenerife    Elche          0-0       0-0      
1972-1973           2ª              2 Hércules    Sevilla        1-1       1-1      
1972-1973           2ª              2 Murcia      Valladolid     2-1       2-1      
1972-1973           2ª              2 Sabadell    Valencia B     2-1       2-1      
1972-1973           2ª              2 Logroñés    Cádiz          3-3       3-3      
1972-1973           2ª              2 Rac. Santa  Córdoba        1-0       1-0      
1972-1973           2ª              3 Rayo Valle  Pontevedra     2-2       2-2      
1972-1973           2ª              3 Mallorca    Gimn. Tarrago  2-0       2-0      
1972-1973           2ª              3 Barakaldo   Cult. Leonesa  1-2       1-2      
1972-1973           2ª              3 Sant Andre  Tenerife       1-0       1-0      
1972-1973           2ª              3 Elche       Hércules       3-0       3-0      
1972-1973           2ª              3 Sevilla     Murcia         1-1       1-1      
1972-1973           2ª              3 Valladolid  Sabadell       1-1       1-1      
1972-1973           2ª              3 Valencia B  Logroñés       1-1       1-1      
1972-1973           2ª              3 Cádiz       Rac. Santande  0-1       0-1      
1972-1973           2ª              3 Osasuna     Córdoba        2-2       2-2      
1972-1973           2ª              4 Pontevedra  Osasuna        1-2       1-2      
1972-1973           2ª              4 Gimn. Tarr  Rayo Vallecan  2-0       2-0      
1972-1973           2ª              4 Cult. Leon  Mallorca       0-0       0-0      
1972-1973           2ª              4 Tenerife    Barakaldo      0-0       0-0      
1972-1973           2ª              4 Hércules    Sant Andreu    1-0       1-0      
1972-1973           2ª              4 Murcia      Elche          2-0       2-0      
1972-1973           2ª              4 Sabadell    Sevilla        0-1       0-1      
1972-1973           2ª              4 Logroñés    Valladolid     1-2       1-2      
1972-1973           2ª              4 Rac. Santa  Valencia B     2-0       2-0      
1972-1973           2ª              4 Córdoba     Cádiz          2-0       2-0      
1972-1973           2ª              5 Pontevedra  Gimn. Tarrago  3-0       3-0      
1972-1973           2ª              5 Rayo Valle  Cult. Leonesa  1-1       1-1      
1972-1973           2ª              5 Mallorca    Tenerife       3-0       3-0      
1972-1973           2ª              5 Barakaldo   Hércules       2-0       2-0      
1972-1973           2ª              5 Sant Andre  Murcia         3-2       3-2      
1972-1973           2ª              5 Elche       Sabadell       1-0       1-0      
1972-1973           2ª              5 Sevilla     Logroñés       0-0       0-0      
1972-1973           2ª              5 Valladolid  Rac. Santande  0-0       0-0      
1972-1973           2ª              5 Valencia B  Córdoba        0-1       0-1      
1972-1973           2ª              5 Osasuna     Cádiz          1-0       1-0      
1972-1973           2ª              6 Gimn. Tarr  Osasuna        1-0       1-0      
1972-1973           2ª              6 Cult. Leon  Pontevedra     1-1       1-1      
1972-1973           2ª              6 Tenerife    Rayo Vallecan  1-0       1-0      
1972-1973           2ª              6 Hércules    Mallorca       2-0       2-0      
1972-1973           2ª              6 Murcia      Barakaldo      6-0       6-0      
1972-1973           2ª              6 Sabadell    Sant Andreu    1-1       1-1      
